date,country,new_cases,new_deaths,total_cases,total_deaths
01/03/20,India,0,0,3,0
02/03/20,India,0,0,3,0
03/03/20,India,2,0,5,0
04/03/20,India,1,0,6,0
05/03/20,India,22,0,28,0
06/03/20,India,1,0,29,0
07/03/20,India,2,0,31,0
08/03/20,India,3,0,34,0
10/03/20,India,10,0,44,0
11/03/20,India,6,0,50,0
12/03/20,India,23,0,73,0
13/03/20,India,2,1,75,1
14/03/20,India,8,1,83,2
15/03/20,India,7,0,90,2
16/03/20,India,3,0,93,2
17/03/20,India,32,1,125,3
18/03/20,India,12,0,137,3
19/03/20,India,28,0,165,3
20/03/20,India,26,1,191,4
21/03/20,India,40,0,231,4
22/03/20,India,89,0,320,4
23/03/20,India,119,3,439,7
24/03/20,India,53,2,492,9
25/03/20,India,70,0,562,9
26/03/20,India,87,4,649,13
27/03/20,India,75,4,724,17
28/03/20,India,149,2,873,19
29/03/20,India,106,6,979,25
30/03/20,India,92,4,1071,29
31/03/20,India,180,3,1251,32
01/04/20,India,146,3,1397,35
02/04/20,India,568,15,1965,50
03/04/20,India,336,6,2301,56
04/04/20,India,601,12,2902,68
05/04/20,India,472,9,3374,77
06/04/20,India,693,32,4067,109
07/04/20,India,354,5,4421,114
08/04/20,India,773,35,5194,149
09/04/20,India,540,17,5734,166
10/04/20,India,678,33,6412,199
11/04/20,India,1035,40,7447,239
12/04/20,India,909,34,8356,273
13/04/20,India,796,35,9152,308
14/04/20,India,1211,31,10363,339
15/04/20,India,1075,38,11438,377
